15
203 127 186
117 4 197 4
88 37 158 37
26 26 36 26
92 44 100 44
37 6 113 6
21 63 36 63
12 8 44 8
82 21 171 21
90 63 175 63
6 76 108 76
77 24 129 24
63 65 148 65
167 31 202 31
160 51 167 51
81 25 118 25
177 56 193 56
123 29 189 29
74 64 162 64
129 63 192 63
16 22 168 22
121 51 151 51
81 55 147 55
17 17 38 17
100 51 159 51
40 42 173 42
70 38 77 38
95 44 152 44
130 117 154 117
75 11 128 11
7 24 143 24
131 93 168 93
21 24 130 24
41 2 139 2
108 1 159 1
410 285 841
11 22 162 22
276 13 366 13
49 25 102 25
23 158 365 158
234 174 292 174
21 8 378 8
169 118 272 118
365 153 405 153
86 65 207 65
11 205 56 205
94 175 306 175
110 37 140 37
165 29 258 29
8 223 357 223
11 23 387 23
87 11 192 11
157 150 392 150
129 210 203 210
230 181 344 181
277 70 365 70
33 39 99 39
222 158 392 158
102 101 204 101
288 76 347 76
59 92 374 92
4 89 207 89
270 89 371 89
16 71 33 71
227 179 275 179
52 16 324 16
42 46 172 46
2 227 34 227
253 31 367 31
167 40 195 40
198 99 260 99
334 158 400 158
355 6 362 6
162 129 362 129
239 22 388 22
44 87 127 87
253 81 272 81
63 239 147 239
154 125 198 125
47 163 209 163
172 165 231 165
264 24 311 24
131 5 227 5
5 27 348 27
161 186 311 186
230 34 249 34
210 196 290 196
75 70 256 70
81 48 253 48
354 144 355 144
126 61 339 61
1 7 34 7
59 102 99 102
279 26 314 26
254 71 344 71
318 100 376 100
121 38 329 38
148 112 388 112
36 123 239 123
270 226 357 226
145 26 300 26
179 29 308 29
257 78 322 78
100 33 125 33
159 61 316 61
247 57 294 57
135 41 405 41
93 10 318 10
73 138 224 138
189 71 370 71
275 89 390 89
241 21 386 21
104 31 276 31
207 14 323 14
18 166 191 166
159 1 173 1
96 110 115 110
77 252 389 252
296 14 349 14
2 96 44 96
140 170 331 170
64 228 395 228
282 12 374 12
127 75 194 75
168 9 267 9
291 56 323 56
76 88 108 88
3 178 302 178
54 24 359 24
87 76 115 76
191 7 203 7
20 197 281 197
155 28 224 28
188 22 280 22
42 58 339 58
26 2 269 2
324 26 380 26
36 49 111 49
18 142 230 142
212 32 325 32
28 12 143 12
221 128 248 128
111 56 258 56
199 92 264 92
228 15 300 15
168 106 211 106
233 216 267 216
95 224 407 224
162 127 326 127
339 78 342 78
64 95 238 95
18 140 200 140
100 46 247 46
130 18 362 18
226 19 409 19
173 61 334 61
255 7 256 7
62 103 372 103
236 103 332 103
164 15 360 15
146 218 363 218
10 221 286 221
74 54 107 54
330 193 341 193
120 90 359 90
78 18 379 18
51 168 353 168
125 208 355 208
220 123 372 123
245 109 393 109
311 114 355 114
42 84 387 84
23 39 285 39
202 99 319 99
158 58 365 58
61 63 356 63
6 6 107 6
51 211 161 211
296 21 383 21
198 113 374 113
10 4 217 4
184 36 204 36
244 180 267 180
39 93 204 93
39 58 103 58
258 226 370 226
12 134 46 134
57 108 360 108
229 0 290 0
187 50 288 50
0 128 65 128
89 2 218 2
175 273 178 273
171 121 220 121
74 86 100 86
164 119 398 119
11 105 28 105
53 72 347 72
226 114 391 114
358 81 394 81
186 54 201 54
270 54 280 54
135 23 373 23
132 82 286 82
70 191 234 191
90 20 110 20
246 80 354 80
165 76 393 76
24 34 380 34
118 231 230 231
148 1 224 1
111 88 149 88
144 167 325 167
307 30 325 30
349 4 377 4
62 159 165 159
75 56 121 56
87 53 284 53
46 78 93 78
218 107 261 107
184 145 341 145
212 113 387 113
259 89 372 89
306 1 320 1
260 50 356 50
292 133 330 133
175 252 223 252
128 41 206 41
303 152 398 152
84 118 355 118
179 77 226 77
118 184 141 184
76 61 297 61
340 154 349 154
136 71 190 71
195 76 384 76
327 63 388 63
52 42 150 42
91 13 130 13
317 64 323 64
225 151 360 151
15 226 264 226
55 6 119 6
29 63 335 63
256 219 371 219
81 20 345 20
133 133 318 133
40 57 407 57
23 127 381 127
249 131 294 131
196 66 229 66
1 190 53 190
131 17 237 17
161 44 240 44
345 56 388 56
200 55 376 55
35 55 379 55
2 231 207 231
244 59 389 59
221 40 316 40
220 77 241 77
251 120 289 120
202 95 208 95
164 82 201 82
28 191 174 191
75 40 409 40
211 239 230 239
91 88 371 88
155 273 195 273
230 41 367 41
302 5 333 5
31 25 268 25
287 175 382 175
123 130 276 130
362 102 399 102
119 145 197 145
352 66 396 66
106 125 393 125
205 21 383 21
32 36 120 36
129 47 364 47
199 54 389 54
260 98 312 98
43 151 269 151
203 54 289 54
152 221 163 221
195 138 343 138
55 47 366 47
237 69 339 69
152 15 242 15
246 35 319 35
27 20 387 20
131 33 280 33
134 73 401 73
0 138 121 138
7 128 43 128
55 229 187 229
107 44 169 44
196 242 216 242
52 73 299 73
46 170 202 170
61 67 249 67
20 67 384 67
140 10 230 10
40 157 352 157
87 108 165 108
86 1 120 1
177 21 179 21
327 39 405 39
40 11 170 11
130 274 209 274
127 134 269 134
238 170 319 170
220 64 326 64
28 129 51 129
20 42 40 42
206 18 347 18
113 35 263 35
4 210 41 210
196 63 339 63
77 155 352 155
36 90 327 90
64 177 150 177
63 57 322 57
89 57 191 57
109 118 392 118
39 263 195 263
265 192 386 192
51 184 377 184
241 64 374 64
134 113 177 113
155 39 211 39
202 189 393 189
96 74 210 74
209 15 374 15
124 27 243 27
30 30 388 30
25 5 385 5
203 120 245 120
299 24 361 24
340 169 351 169
176 77 378 77
139 99 365 99
358 155 373 155
86 98 398 98
148 54 218 54
176 90 305 90
106 153 283 153
71 163 88 163
221 89 355 89
350 26 408 26
364 118 378 118
119 40 225 40
319 72 371 72
266 156 397 156
3 21 143 21
117 1 354 1
87 155 388 155
46 28 108 28
132 8 219 8
1 44 358 44
48 95 183 95
127 31 264 31
48 47 208 47
231 113 296 113
258 119 406 119
35 64 194 64
39 22 47 22
16 59 318 59
364 98 372 98
216 53 275 53
227 153 315 153
346 106 369 106
67 177 156 177
1 186 265 186
48 15 363 15
171 177 348 177
325 73 387 73
103 130 363 130
212 20 229 20
214 112 347 112
136 51 145 51
197 57 287 57
214 63 300 63
132 207 207 207
112 220 315 220
245 145 307 145
21 8 262 8
110 49 254 49
140 142 293 142
4 12 241 12
177 115 372 115
99 239 197 239
207 189 376 189
14 73 216 73
276 53 278 53
114 103 269 103
226 42 326 42
184 43 191 43
145 23 338 23
244 122 251 122
31 241 154 241
13 65 85 65
6 12 30 12
46 88 339 88
215 153 379 153
109 166 298 166
152 113 378 113
41 78 66 78
16 218 146 218
160 106 322 106
83 175 183 175
44 31 270 31
94 99 169 99
18 68 76 68
222 1 317 1
72 110 199 110
53 73 248 73
42 206 407 206
84 15 341 15
143 90 213 90
283 89 294 89
177 231 184 231
66 54 301 54
257 20 310 20
116 218 359 218
219 193 311 193
115 82 197 82
313 101 358 101
165 87 182 87
35 39 104 39
87 63 351 63
100 138 242 138
136 32 187 32
25 3 332 3
125 25 153 25
334 133 403 133
103 86 229 86
57 23 328 23
198 77 242 77
272 64 405 64
108 125 171 125
50 28 152 28
306 4 340 4
85 134 307 134
52 250 338 250
330 95 396 95
244 78 391 78
77 55 112 55
158 170 218 170
3 193 73 193
242 159 339 159
129 94 270 94
46 19 208 19
296 56 298 56
221 90 259 90
76 28 238 28
196 51 246 51
256 33 327 33
100 148 230 148
275 5 290 5
5 7 204 7
176 122 371 122
73 13 222 13
41 44 397 44
35 43 149 43
31 49 382 49
327 74 365 74
267 74 296 74
177 62 199 62
156 14 325 14
24 118 404 118
139 4 221 4
59 179 305 179
29 26 63 26
140 105 237 105
20 268 268 268
62 33 178 33
187 43 189 43
83 59 167 59
279 233 400 233
107 199 349 199
83 130 327 130
36 48 191 48
58 163 89 163
280 159 340 159
243 50 362 50
261 130 335 130
385 140 390 140
301 20 302 20
255 36 298 36
89 73 280 73
50 17 395 17
39 58 326 58
30 210 103 210
163 9 237 9
66 92 136 92
6 94 294 94
177 80 179 80
231 76 390 76
39 84 75 84
16 51 72 51
151 98 153 98
52 53 398 53
158 99 192 99
77 94 218 94
59 128 309 128
100 71 257 71
324 27 377 27
53 110 168 110
145 160 232 160
185 229 262 229
49 10 403 10
175 111 329 111
118 60 257 60
112 90 405 90
373 32 395 32
4 24 67 24
225 69 285 69
173 18 383 18
150 2 239 2
155 56 291 56
247 70 391 70
85 50 125 50
207 23 225 23
107 107 363 107
183 108 335 108
117 133 379 133
36 194 332 194
111 106 357 106
56 6 189 6
31 4 213 4
41 165 403 165
22 269 325 269
50 180 234 180
258 66 325 66
118 69 397 69
147 76 323 76
132 12 349 12
6 185 403 185
101 6 186 6
33 58 202 58
64 77 76 77
12 54 109 54
343 103 361 103
36 14 289 14
334 48 378 48
383 180 388 180
263 135 367 135
207 37 260 37
214 19 312 19
46 1 306 1
16 62 324 62
221 238 273 238
24 43 219 43
68 127 161 127
19 161 281 161
73 45 366 45
196 57 301 57
89 17 336 17
158 61 346 61
44 85 46 85
69 126 119 126
55 116 216 116
7 43 248 43
108 25 299 25
139 21 401 21
130 4 334 4
169 107 280 107
55 155 287 155
185 165 364 165
169 50 181 50
1 98 344 98
9 9 143 9
18 179 102 179
218 26 331 26
112 8 310 8
7 130 345 130
25 116 139 116
64 109 342 109
178 134 374 134
104 103 393 103
190 122 271 122
116 126 205 126
172 26 400 26
297 1 374 1
227 218 349 218
187 116 361 116
150 14 260 14
321 10 378 10
218 105 332 105
271 108 323 108
122 201 267 201
36 186 189 186
226 128 299 128
156 176 261 176
257 13 384 13
253 57 401 57
59 169 218 169
60 91 224 91
342 138 357 138
129 40 154 40
373 54 385 54
227 33 275 33
137 69 141 69
162 38 303 38
336 4 338 4
53 3 91 3
111 117 318 117
24 69 33 69
213 16 263 16
144 40 380 40
108 181 272 181
240 15 366 15
324 1 408 1
38 111 283 111
46 196 253 196
59 2 394 2
299 14 380 14
306 116 320 116
8 14 52 14
54 75 210 75
261 109 261 109
327 8 387 8
43 37 96 37
51 7 277 7
22 95 387 95
190 44 337 44
74 37 129 37
85 214 313 214
155 168 300 168
157 96 242 96
315 86 390 86
3 72 383 72
22 94 357 94
49 213 249 213
200 227 223 227
293 37 363 37
227 129 244 129
346 88 403 88
4 182 249 182
28 175 279 175
266 26 339 26
96 31 105 31
49 115 85 115
152 20 175 20
53 211 119 211
88 31 389 31
72 64 246 64
72 93 326 93
172 24 184 24
91 33 201 33
171 101 218 101
186 172 344 172
11 169 360 169
160 103 390 103
93 141 194 141
176 24 271 24
194 183 219 183
53 7 331 7
33 131 263 131
235 72 350 72
117 62 368 62
53 212 169 212
101 117 105 117
219 164 273 164
17 85 343 85
34 103 43 103
262 25 350 25
39 57 275 57
244 185 348 185
139 22 261 22
234 85 371 85
216 15 293 15
74 102 175 102
18 229 217 229
160 156 279 156
252 82 319 82
12 172 389 172
230 138 367 138
155 25 365 25
99 145 408 145
269 3 295 3
148 6 385 6
167 143 273 143
204 145 336 145
215 50 336 50
213 96 304 96
25 29 91 29
367 50 409 50
199 24 349 24
22 137 157 137
140 95 398 95
266 24 268 24
79 66 120 66
107 145 277 145
256 137 394 137
118 14 330 14
198 38 295 38
146 21 380 21
52 128 99 128
47 44 154 44
185 31 392 31
121 174 294 174
228 158 359 158
222 38 400 38
369 12 407 12
196 181 282 181
44 75 256 75
245 25 262 25
236 154 321 154
95 30 330 30
75 38 325 38
89 22 311 22
196 12 233 12
203 100 281 100
32 202 340 202
97 186 127 186
235 15 317 15
217 38 377 38
183 155 389 155
155 206 204 206
356 91 384 91
86 157 401 157
384 123 398 123
61 40 118 40
98 231 276 231
199 98 207 98
133 149 256 149
58 31 328 31
157 74 392 74
151 207 191 207
72 67 231 67
137 44 265 44
263 72 272 72
250 63 254 63
37 147 316 147
101 125 103 125
131 17 156 17
2 87 3 87
116 185 271 185
120 218 340 218
6 62 38 62
239 14 265 14
385 73 401 73
162 201 385 201
358 81 393 81
30 211 257 211
223 81 349 81
302 63 319 63
73 262 163 262
234 183 237 183
142 12 291 12
224 25 321 25
223 54 365 54
180 109 195 109
145 111 354 111
348 215 405 215
1 150 212 150
95 8 255 8
55 86 355 86
184 136 238 136
356 22 379 22
175 98 306 98
81 87 251 87
317 39 387 39
120 105 234 105
45 16 147 16
171 36 219 36
135 159 162 159
51 117 300 117
213 152 401 152
189 47 303 47
91 57 363 57
20 21 122 21
64 21 268 21
57 131 73 131
236 210 355 210
237 143 295 143
154 155 314 155
267 9 302 9
198 165 261 165
247 194 407 194
285 81 346 81
138 26 155 26
219 91 256 91
204 49 349 49
314 166 352 166
0 144 194 144
19 53 239 53
206 128 285 128
17 21 389 21
86 24 233 24
151 18 277 18
18 65 62 65
134 211 308 211
165 34 215 34
252 94 317 94
73 117 198 117
174 10 351 10
220 0 392 0
69 178 194 178
140 72 319 72
118 26 140 26
180 16 198 16
221 175 280 175
154 160 407 160
227 111 275 111
23 56 62 56
25 12 49 12
178 5 268 5
31 28 354 28
174 117 337 117
154 81 401 81
0 50 161 50
164 49 192 49
361 171 409 171
371 38 390 38
189 202 247 202
30 186 44 186
254 211 320 211
122 97 375 97
239 120 268 120
183 25 240 25
197 74 306 74
127 38 209 38
211 149 302 149
132 155 158 155
135 96 228 96
225 144 230 144
50 119 67 119
93 10 140 10
9 137 328 137
43 55 209 55
12 75 271 75
240 70 269 70
32 163 383 163
67 3 254 3
36 21 353 21
125 18 131 18
14 123 363 123
90 137 406 137
176 102 272 102
123 45 262 45
25 150 72 150
12 131 278 131
42 79 178 79
36 32 44 32
109 65 212 65
162 179 405 179
374 23 374 23
55 19 374 19
181 185 249 185
217 86 363 86
33 116 364 116
18 107 42 107
79 148 125 148
173 42 258 42
42 9 391 9
231 5 397 5
179 63 333 63
219 198 264 198
165 5 404 5
247 17 378 17
290 72 360 72
24 170 86 170
18 12 196 12
89 37 165 37
69 18 177 18
156 48 162 48
167 0 222 0
127 14 240 14
290 17 379 17
126 181 177 181
383 181 395 181
75 24 155 24
90 8 322 8
780 445 681
113 104 488 104
86 32 711 32
82 342 474 342
348 89 620 89
44 129 609 129
521 186 695 186
194 137 266 137
497 135 576 135
277 107 344 107
610 23 642 23
473 72 761 72
183 388 667 388
6 209 502 209
355 44 641 44
497 100 610 100
25 52 727 52
276 366 389 366
219 241 331 241
4 269 590 269
31 59 545 59
429 241 718 241
308 25 660 25
63 19 217 19
356 245 434 245
593 69 758 69
185 56 205 56
121 230 628 230
237 122 405 122
61 389 213 389
88 282 267 282
291 139 328 139
212 185 436 185
371 76 486 76
25 163 605 163
11 188 336 188
620 91 750 91
214 134 400 134
19 54 223 54
73 96 89 96
254 2 363 2
376 6 503 6
146 213 403 213
19 129 404 129
445 301 672 301
170 282 577 282
52 5 281 5
315 107 535 107
481 263 494 263
477 273 633 273
35 221 739 221
525 58 567 58
466 7 479 7
495 139 584 139
284 116 433 116
56 347 445 347
518 223 614 223
371 180 645 180
478 27 679 27
360 162 565 162
468 168 659 168
182 218 475 218
122 329 292 329
748 136 758 136
470 130 730 130
235 17 776 17
64 310 524 310
446 302 722 302
215 139 338 139
532 408 608 408
161 221 266 221
359 139 390 139
416 316 709 316
344 194 375 194
172 71 329 71
426 222 577 222
154 29 688 29
486 297 669 297
585 166 703 166
149 36 740 36
338 247 464 247
181 50 702 50
56 135 399 135
518 175 586 175
27 241 682 241
494 370 526 370
229 67 272 67
572 71 603 71
60 149 78 149
515 160 589 160
242 201 602 201
51 85 646 85
269 293 396 293
219 143 279 143
272 357 315 357
4 13 718 13
44 365 86 365
370 303 505 303
479 13 479 13
100 61 465 61
97 214 112 214
352 268 644 268
306 166 679 166
190 89 509 89
114 112 740 112
161 158 691 158
136 11 687 11
327 124 737 124
332 112 478 112
419 349 484 349
30 272 120 272
61 33 289 33
227 61 540 61
195 18 774 18
62 336 348 336
238 86 612 86
511 126 715 126
546 170 758 170
25 191 748 191
79 154 729 154
307 269 440 269
33 11 477 11
308 92 639 92
227 211 336 211
252 200 562 200
108 238 201 238
502 140 648 140
284 151 779 151
33 86 57 86
33 75 617 75
324 181 563 181
152 0 760 0
463 307 748 307
7 61 549 61
348 153 634 153
467 140 601 140
438 17 530 17
285 3 384 3
363 80 760 80
192 390 702 390
194 105 491 105
283 217 730 217
147 105 148 105
207 28 517 28
499 314 506 314
81 211 614 211
149 81 673 81
457 305 614 305
73 176 613 176
126 16 202 16
186 18 193 18
69 98 114 98
131 249 617 249
17 99 685 99
393 325 650 325
594 221 648 221
426 138 469 138
71 313 435 313
431 77 613 77
396 169 432 169
168 90 484 90
465 33 652 33
156 165 673 165
377 267 623 267
375 80 770 80
406 261 530 261
58 13 63 13
426 154 731 154
411 187 631 187
268 109 680 109
551 371 732 371
521 388 664 388
18 356 140 356
459 15 657 15
202 372 346 372
297 173 458 173
337 158 460 158
161 62 245 62
283 227 511 227
240 229 315 229
565 39 745 39
550 87 767 87
429 27 760 27
87 160 619 160
400 261 525 261
534 256 654 256
509 5 672 5
407 168 728 168
629 8 751 8
87 187 382 187
207 100 551 100
22 210 673 210
30 177 95 177
98 158 454 158
298 42 345 42
448 29 550 29
299 60 684 60
761 171 775 171
134 99 649 99
121 172 579 172
704 360 709 360
138 60 469 60
506 259 521 259
337 251 565 251
215 272 563 272
168 189 528 189
157 81 683 81
204 174 239 174
56 111 251 111
293 47 720 47
323 346 365 346
70 198 717 198
142 45 165 45
55 212 759 212
159 100 357 100
185 13 434 13
179 155 312 155
369 84 571 84
251 171 545 171
80 160 698 160
379 175 682 175
243 17 367 17
126 351 440 351
17 65 738 65
337 129 454 129
353 122 362 122
145 216 274 216
343 194 483 194
313 203 776 203
584 152 727 152
104 265 298 265
261 149 362 149
71 15 497 15
121 219 705 219
79 192 298 192
75 111 389 111
183 192 631 192
58 249 474 249
441 323 704 323
97 291 722 291
338 43 773 43
262 132 770 132
470 20 776 20
21 33 489 33
179 125 324 125
390 14 403 14
87 150 417 150
372 181 556 181
212 11 284 11
36 64 445 64
553 226 562 226
162 172 329 172
26 171 87 171
365 254 779 254
24 283 536 283
353 7 366 7
132 266 438 266
17 80 763 80
128 3 725 3
322 85 671 85
74 71 91 71
234 59 503 59
259 229 653 229
536 406 582 406
369 156 740 156
58 54 709 54
224 28 634 28
387 241 558 241
279 391 330 391
184 101 722 101
644 20 695 20
33 241 303 241
340 221 661 221
78 3 667 3
291 139 650 139
570 155 591 155
45 202 334 202
93 191 475 191
402 210 545 210
73 208 331 208
60 73 684 73
313 259 417 259
186 43 289 43
417 29 749 29
121 161 714 161
116 58 493 58
331 371 618 371
585 64 692 64
230 141 634 141
25 258 679 258
644 33 712 33
160 78 778 78
248 141 439 141
308 172 729 172
600 207 608 207
8 255 228 255
519 7 631 7
122 265 500 265
591 112 665 112
205 65 590 65
292 57 526 57
134 308 671 308
204 349 747 349
196 156 772 156
147 22 149 22
3 163 577 163
232 263 299 263
241 102 423 102
388 93 752 93
97 149 98 149
228 60 259 60
132 56 731 56
374 231 425 231
432 5 618 5
316 1 386 1
450 312 652 312
157 0 252 0
396 70 654 70
192 275 195 275
202 141 477 141
619 50 770 50
423 132 490 132
27 47 443 47
596 131 771 131
291 128 448 128
275 127 298 127
562 176 663 176
384 101 432 101
356 266 727 266
415 154 483 154
12 138 406 138
207 135 292 135
24 221 70 221
362 14 511 14
652 244 734 244
457 84 627 84
447 119 727 119
397 137 713 137
193 71 563 71
148 92 156 92
224 79 402 79
0 105 459 105
221 11 495 11
16 302 48 302
448 77 578 77
10 238 594 238
348 139 476 139
196 275 429 275
326 205 586 205
422 46 480 46
70 383 514 383
182 203 613 203
105 120 238 120
324 310 350 310
40 167 167 167
260 51 578 51
204 144 469 144
322 162 614 162
510 76 636 76
542 149 624 149
75 221 371 221
310 206 384 206
163 75 458 75
361 73 367 73
124 6 749 6
412 70 710 70
179 2 676 2
347 113 527 113
332 129 712 129
84 121 693 121
87 334 243 334
254 201 542 201
204 150 262 150
34 389 422 389
446 109 711 109
184 98 679 98
572 280 746 280
176 15 305 15
337 192 461 192
245 337 510 337
273 200 682 200
69 16 516 16
393 219 582 219
397 108 470 108
620 180 627 180
30 285 31 285
212 171 566 171
172 67 538 67
143 156 657 156
210 4 335 4
71 202 769 202
23 208 647 208
262 109 493 109
661 202 764 202
478 133 657 133
10 45 776 45
11 66 487 66
671 39 697 39
375 136 703 136
157 35 164 35
6 32 146 32
206 77 584 77
70 206 383 206
492 145 664 145
262 96 768 96
639 73 765 73
351 341 464 341
123 43 377 43
19 235 142 235
28 155 271 155
293 225 776 225
427 107 662 107
42 145 729 145
65 10 495 10
123 52 660 52
446 142 512 142
32 241 387 241
91 136 746 136
344 91 494 91
116 83 134 83
301 16 671 16
584 323 768 323
325 98 594 98
101 23 201 23
238 89 725 89
38 140 398 140
330 93 354 93
126 147 420 147
244 376 538 376
258 291 314 291
374 118 382 118
143 266 192 266
425 168 525 168
504 89 590 89
128 202 390 202
378 283 426 283
416 192 738 192
3 69 583 69
540 7 618 7
697 167 723 167
127 68 678 68
429 97 483 97
525 256 611 256
594 98 618 98
314 36 697 36
20 6 46 6
299 116 493 116
411 295 431 295
5 61 648 61
689 89 707 89
217 147 430 147
457 275 668 275
191 134 267 134
295 21 670 21
427 35 695 35
480 128 563 128
279 45 399 45
11 51 367 51
133 212 737 212
29 130 47 130
56 20 328 20
91 161 562 161
77 371 346 371
159 77 305 77
263 131 371 131
122 11 503 11
576 333 627 333
318 275 697 275
343 138 477 138
207 200 575 200
207 272 555 272
301 49 549 49
528 92 711 92
474 164 750 164
35 57 217 57
472 126 638 126
123 47 124 47
33 221 756 221
315 111 350 111
273 4 355 4
131 4 370 4
314 19 510 19
206 299 643 299
272 46 410 46
115 113 737 113
4 268 59 268
337 149 734 149
346 67 540 67
195 30 431 30
66 169 451 169
81 91 133 91
42 96 394 96
401 296 493 296
456 98 670 98
450 142 631 142
419 112 724 112
212 250 281 250
215 89 294 89
637 152 663 152
472 137 530 137
481 206 550 206
112 38 428 38
221 31 740 31
23 178 644 178
474 35 750 35
2 207 131 207
35 63 384 63
6 364 539 364
407 9 589 9
133 29 475 29
83 389 173 389
87 92 637 92
155 127 344 127
567 305 744 305
168 29 207 29
147 81 259 81
278 295 702 295
24 50 166 50
121 157 282 157
24 273 85 273
142 250 458 250
514 29 587 29
403 70 504 70
347 98 473 98
297 25 468 25
197 16 547 16
471 183 721 183
390 60 413 60
205 9 234 9
357 213 550 213
260 66 267 66
17 262 455 262
394 110 621 110
261 263 379 263
242 130 573 130
40 71 124 71
304 328 654 328
386 242 723 242
42 83 443 83
346 264 392 264
384 130 749 130
40 140 577 140
305 22 669 22
208 151 440 151
117 320 497 320
143 5 251 5
120 65 622 65
119 42 427 42
390 133 539 133
8 293 191 293
120 5 586 5
396 174 435 174
357 66 749 66
7 80 742 80
389 209 557 209
108 287 639 287
424 292 469 292
120 73 727 73
74 249 500 249
26 74 465 74
527 373 755 373
265 42 755 42
609 433 662 433
255 259 515 259
328 102 348 102
215 67 336 67
139 0 664 0
131 67 577 67
37 47 361 47
413 112 416 112
373 218 432 218
444 349 706 349
72 84 530 84
224 197 563 197
425 114 713 114
101 198 646 198
22 33 723 33
267 13 598 13
556 139 691 139
609 363 739 363
111 281 184 281
68 269 443 269
158 81 588 81
269 38 313 38
298 161 356 161
51 12 729 12
414 72 732 72
61 124 277 124
252 109 664 109
172 120 318 120
164 249 589 249
198 133 477 133
241 98 485 98
440 17 548 17
371 154 556 154
349 1 697 1
259 306 406 306
388 24 762 24
467 105 773 105
382 62 394 62
395 95 699 95
218 235 367 235
135 76 624 76
215 69 444 69
177 133 228 133
82 37 181 37
398 302 406 302
290 102 521 102
491 80 593 80
671 7 689 7
21 358 421 358
400 28 534 28
235 26 473 26
267 349 716 349
136 148 220 148
298 96 728 96
273 48 741 48
188 282 424 282
439 212 439 212
297 0 509 0
47 291 388 291
25 323 191 323
166 124 332 124
218 144 244 144
425 141 693 141
574 81 582 81
36 132 130 132
289 82 307 82
83 10 253 10
184 21 426 21
148 116 429 116
26 112 668 112
418 254 554 254
61 28 265 28
342 37 695 37
387 119 749 119
663 204 754 204
70 74 84 74
136 10 455 10
344 297 668 297
485 19 591 19
238 297 543 297
499 282 622 282
357 105 487 105
264 89 604 89
310 22 705 22
73 98 538 98
95 128 608 128
148 59 423 59
164 16 412 16
686 101 760 101
344 172 468 172
35 365 710 365
597 78 749 78
329 149 546 149
187 253 528 253
203 77 577 77
236 317 620 317
278 96 491 96
160 8 537 8
202 32 655 32
48 24 277 24
430 183 738 183
407 27 778 27
319 171 690 171
560 25 570 25
200 140 223 140
345 234 559 234
126 2 401 2
590 33 595 33
296 215 778 215
0 266 734 266
49 175 69 175
313 84 774 84
559 149 663 149
23 40 516 40
195 260 519 260
561 139 622 139
653 271 779 271
227 107 617 107
308 83 409 83
639 95 774 95
558 451 62
171 102 378 102
0 123 512 123
334 2 412 2
294 56 490 56
201 263 350 263
26 202 395 202
303 29 457 29
201 31 319 31
213 158 257 158
197 68 539 68
0 231 362 231
211 185 309 185
121 255 296 255
304 327 364 327
273 36 378 36
171 72 210 72
117 13 389 13
34 146 77 146
326 123 410 123
175 352 472 352
178 25 437 25
242 140 340 140
88 69 230 69
79 91 346 91
81 112 495 112
150 208 557 208
453 108 468 108
360 98 550 98
29 104 149 104
421 34 424 34
450 1 532 1
208 12 438 12
223 98 405 98
68 23 389 23
350 104 467 104
68 348 357 348
196 155 389 155
