Case 1
   Query 276: 0
   Query 277: 228
   Query 278: 0
   Query 279: 456
   Query 280: 228
   Query 281: 456
   Query 282: 684
   Query 283: 646
   Query 284: 0
   Query 285: 342
   Query 286: 684
   Query 287: 0
   Query 288: 0
   Query 289: 684
   Query 290: 494
   Query 291: 870
   Query 292: 874
   Query 293: 684
   Query 294: 0
   Query 295: 57
   Query 296: 228
   Query 297: 684
   Query 298: 684
   Query 299: 0
   Query 300: 684
   Query 301: 228
   Query 302: 594
   Query 303: 456
   Query 304: 0
   Query 305: 342
   Query 306: 0
   Query 307: 76
   Query 308: 456
   Query 309: 114
   Query 310: 684
   Query 311: 0
   Query 312: 456
   Query 313: 798
   Query 314: 570
   Query 315: 84
   Query 316: 152
   Query 317: 684
   Query 318: 114
   Query 319: 684
   Query 320: 798
   Query 321: 798
   Query 322: 888
   Query 323: 408
   Query 324: 228
   Query 325: 228
   Query 326: 492
   Query 327: 684
   Query 328: 228
   Query 329: 0
   Query 330: 522
   Query 331: 684
   Query 332: 198
   Query 333: 228
   Query 334: 0
   Query 335: 456
   Query 336: 0
   Query 337: 0
   Query 338: 792
   Query 339: 18
   Query 340: 474
   Query 341: 684
   Query 342: 798
   Query 343: 888
   Query 344: 285
   Query 345: 456
   Query 346: 513
   Query 347: 0
   Query 348: 0
   Query 349: 456
   Query 350: 228
   Query 351: 228
   Query 352: 264
   Query 353: 684
   Query 354: 684
   Query 355: 5
   Query 356: 456
   Query 357: 48
   Query 358: 684
   Query 359: 228
   Query 360: 456
   Query 361: 684
   Query 362: 0
   Query 363: 456
   Query 364: 342
   Query 365: 456
   Query 366: 0
   Query 367: 456
   Query 368: 840
   Query 369: 228
   Query 370: 684
   Query 371: 684
   Query 372: 456
   Query 373: 456
   Query 374: 456
   Query 375: 0
   Query 376: 0
   Query 377: 572
   Query 378: 228
   Query 379: 684
   Query 380: 228
   Query 381: 684
   Query 382: 684
   Query 383: 0
   Query 384: 228
   Query 385: 228
   Query 386: 0
   Query 387: 456
   Query 388: 684
   Query 389: 684
   Query 390: 180
   Query 391: 114
   Query 392: 228
   Query 393: 0
   Query 394: 684
   Query 395: 456
   Query 396: 228
   Query 397: 228
   Query 398: 684
   Query 399: 408
   Query 400: 0
   Query 401: 684
   Query 402: 798
   Query 403: 399
   Query 404: 456
   Query 405: 404
   Query 406: 228
   Query 407: 0
   Query 408: 0
   Query 409: 0
   Query 410: 228
   Query 411: 456
   Query 412: 228
   Query 413: 456
   Query 414: 456
   Query 415: 0
   Query 416: 228
   Query 417: 228
   Query 418: 0
   Query 419: 456
   Query 420: 798
   Query 421: 684
   Query 422: 0
   Query 423: 288
   Query 424: 741
   Query 425: 171
   Query 426: 192
   Query 427: 456
   Query 428: 684
   Query 429: 114
   Query 430: 228
   Query 431: 420
   Query 432: 228
   Query 433: 384
   Query 434: 456
   Query 435: 360
   Query 436: 0
   Query 437: 152
   Query 438: 228
   Query 439: 528
   Query 440: 228
   Query 441: 228
   Query 442: 684
   Query 443: 456
   Query 444: 684
   Query 445: 0
   Query 446: 228
   Query 447: 494
   Query 448: 684
   Query 449: 304
   Query 450: 228
   Query 451: 192
   Query 452: 228
   Query 453: 72
   Query 454: 456
   Query 455: 0
   Query 456: 684
   Query 457: 342
   Query 458: 228
   Query 459: 684
   Query 460: 266
   Query 461: 684
   Query 462: 228
   Query 463: 456
   Query 464: 684
   Query 465: 0
   Query 466: 0
   Query 467: 57
   Query 468: 0
   Query 469: 456
   Query 470: 684
   Query 471: 684
   Query 472: 456
   Query 473: 855
   Query 474: 684
   Query 475: 0
   Query 476: 684
   Query 477: 585
   Query 478: 684
   Query 479: 798
   Query 480: 456
   Query 481: 456
   Query 482: 456
   Query 483: 576
   Query 484: 798
   Query 485: 114
   Query 486: 0
   Query 487: 114
   Query 488: 456
   Query 489: 285
   Query 490: 708
   Query 491: 228
   Query 492: 171
   Query 493: 684
   Query 494: 228
   Query 495: 342
   Query 496: 627
   Query 497: 888
   Query 498: 0
   Query 499: 456
   Query 500: 456
   Query 501: 570
   Query 502: 684
   Query 503: 0
   Query 504: 138
   Query 505: 228
   Query 506: 684
   Query 507: 456
   Query 508: 456
   Query 509: 114
   Query 510: 456
   Query 511: 456
   Query 512: 276
   Query 513: 228
   Query 514: 456
   Query 515: 342
   Query 516: 760
   Query 517: 228
   Query 518: 228
   Query 519: 12
   Query 520: 228
   Query 521: 456
   Query 522: 708
   Query 523: 228
   Query 524: 456
   Query 525: 0
   Query 526: 216
   Query 527: 456
   Query 528: 684
   Query 529: 396
   Query 530: 684
   Query 531: 494
   Query 532: 304
   Query 533: 0
   Query 534: 684
   Query 535: 876
   Query 536: 456
   Query 537: 0
   Query 538: 852
   Query 539: 456
   Query 540: 216
   Query 541: 741
   Query 542: 228
   Query 543: 570
   Query 544: 380
   Query 545: 513
   Query 546: 228
   Query 547: 0
   Query 548: 228
   Query 549: 570
   Query 550: 57
   Query 551: 456
   Query 552: 456
   Query 553: 0
   Query 554: 76
   Query 555: 0
   Query 556: 228
   Query 557: 0
   Query 558: 0
   Query 559: 0
   Query 560: 456
   Query 561: 756
   Query 562: 456
   Query 563: 456
   Query 564: 684
   Query 565: 684
   Query 566: 684
   Query 567: 855
   Query 568: 456
   Query 569: 228
   Query 570: 0
   Query 571: 342
   Query 572: 798
   Query 573: 684
   Query 574: 636
   Query 575: 684
   Query 576: 570
   Query 577: 684
   Query 578: 228
   Query 579: 1
   Query 580: 228
   Query 581: 120
   Query 582: 0
   Query 583: 774
   Query 584: 456
   Query 585: 0
   Query 586: 684
   Query 587: 456
   Query 588: 810
   Query 589: 456
   Query 590: 171
   Query 591: 836
   Query 592: 228
   Query 593: 456
   Query 594: 228
   Query 595: 228
   Query 596: 456
   Query 597: 171
   Query 598: 228
   Query 599: 684
   Query 600: 0
   Query 601: 456
   Query 602: 760
   Query 603: 456
   Query 604: 546
   Query 605: 3
   Query 606: 236
   Query 607: 798
   Query 608: 456
   Query 609: 456
   Query 610: 456
   Query 611: 456
   Query 612: 228
   Query 613: 684
   Query 614: 228
   Query 615: 456
   Query 616: 684
   Query 617: 456
   Query 618: 684
   Query 619: 0
   Query 620: 684
   Query 621: 732
   Query 622: 684
   Query 623: 0
   Query 624: 390
   Query 625: 456
   Query 626: 0
   Query 627: 420
   Query 628: 0
   Query 629: 0
   Query 630: 456
   Query 631: 684
   Query 632: 24
   Query 633: 570
   Query 634: 684
   Query 635: 684
   Query 636: 703
   Query 637: 0
   Query 638: 684
   Query 639: 684
   Query 640: 171
   Query 641: 456
   Query 642: 432
   Query 643: 402
   Query 644: 138
   Query 645: 108
   Query 646: 0
   Query 647: 228
   Query 648: 612
   Query 649: 456
   Query 650: 456
   Query 651: 0
   Query 652: 0
   Query 653: 168
   Query 654: 276
   Query 655: 570
   Query 656: 228
   Query 657: 228
   Query 658: 456
   Query 659: 228
   Query 660: 798
   Query 661: 684
   Query 662: 114
   Query 663: 0
   Query 664: 456
   Query 665: 0
   Query 666: 396
   Query 667: 0
   Query 668: 684
   Query 669: 684
   Query 670: 399
   Query 671: 798
   Query 672: 684
   Query 673: 228
   Query 674: 114
   Query 675: 57
   Query 676: 276
   Query 677: 228
   Query 678: 300
   Query 679: 0
   Query 680: 0
   Query 681: 684
   Query 682: 456
   Query 683: 570
   Query 684: 684
   Query 685: 396
   Query 686: 456
   Query 687: 684
   Query 688: 684
   Query 689: 636
   Query 690: 456
   Query 691: 399
   Query 692: 456
   Query 693: 798
   Query 694: 708
   Query 695: 0
   Query 696: 0
   Query 697: 684
   Query 698: 684
   Query 699: 342
   Query 700: 456
   Query 701: 399
   Query 702: 456
   Query 703: 456
   Query 704: 456
   Query 705: 228
   Query 706: 84
   Query 707: 648
   Query 708: 684
   Query 709: 837
   Query 710: 468
   Query 711: 0
   Query 712: 228
   Query 713: 0
   Query 714: 456
   Query 715: 570
   Query 716: 456
   Query 717: 228
   Query 718: 855
   Query 719: 0
   Query 720: 456
   Query 721: 456
   Query 722: 768
   Query 723: 492
   Query 724: 228
   Query 725: 114
   Query 726: 456
   Query 727: 57
   Query 728: 0
   Query 729: 396
   Query 730: 456
   Query 731: 708
   Query 732: 228
   Query 733: 456
   Query 734: 0
   Query 735: 228
   Query 736: 684
   Query 737: 0
   Query 738: 228
   Query 739: 228
   Query 740: 0
   Query 741: 684
   Query 742: 228
   Query 743: 0
   Query 744: 684
   Query 745: 114
   Query 746: 456
   Query 747: 468
   Query 748: 456
   Query 749: 456
   Query 750: 228
   Query 751: 456
   Query 752: 0
   Query 753: 588
   Query 754: 684
   Query 755: 0
   Query 756: 213
   Query 757: 228
   Query 758: 342
   Query 759: 456
   Query 760: 342
   Query 761: 684
   Query 762: 0
   Query 763: 0
   Query 764: 114
   Query 765: 760
   Query 766: 456
   Query 767: 684
   Query 768: 456
   Query 769: 228
   Query 770: 684
   Query 771: 60
   Query 772: 0
   Query 773: 456
   Query 774: 162
   Query 775: 57
   Query 776: 855
   Query 777: 0
   Query 778: 760
   Query 779: 684
   Query 780: 456
   Query 781: 456
   Query 782: 840
   Query 783: 456
   Query 784: 456
   Query 785: 684
   Query 786: 684
   Query 787: 0
   Query 788: 456
   Query 789: 228
   Query 790: 456
   Query 791: 612
   Query 792: 342
   Query 793: 456
   Query 794: 456
   Query 795: 570
   Query 796: 684
   Query 797: 324
   Query 798: 684
   Query 799: 0
   Query 800: 744
   Query 801: 396
   Query 802: 684
   Query 803: 741
   Query 804: 0
   Query 805: 876
   Query 806: 120
   Query 807: 114
   Query 808: 684
   Query 809: 570
   Query 810: 342
   Query 811: 684
   Query 812: 456
   Query 813: 684
   Query 814: 540
   Query 815: 456
   Query 816: 532
   Query 817: 456
   Query 818: 504
   Query 819: 684
   Query 820: 468
   Query 821: 228
   Query 822: 456
   Query 823: 144
   Query 824: 0
   Query 825: 0
   Query 826: 684
   Query 827: 411
   Query 828: 0
   Query 829: 456
   Query 830: 456
   Query 831: 456
   Query 832: 380
   Query 833: 228
   Query 834: 456
   Query 835: 456
   Query 836: 456
   Query 837: 684
   Query 838: 480
   Query 839: 792
   Query 840: 456
   Query 841: 114
Case 3
   Query 1: 336
   Query 2: 444
   Query 3: 792
   Query 4: 336
   Query 5: 24
   Query 6: 504
   Query 7: 162
   Query 8: 48
   Query 9: 48
   Query 10: 828
   Query 11: 216
   Query 12: 720
   Query 13: 642
   Query 14: 348
   Query 15: 48
   Query 16: 792
   Query 17: 708
   Query 18: 504
   Query 19: 198
   Query 20: 168
   Query 21: 504
   Query 22: 192
   Query 23: 264
   Query 24: 336
   Query 25: 552
   Query 26: 384
   Query 27: 336
   Query 28: 648
   Query 29: 168
   Query 30: 504
   Query 31: 732
   Query 32: 792
   Query 33: 48
   Query 34: 408
   Query 35: 288
   Query 36: 504
   Query 37: 192
   Query 38: 744
   Query 39: 48
   Query 40: 408
   Query 41: 488
   Query 42: 312
   Query 43: 480
   Query 44: 48
   Query 45: 108
   Query 46: 192
   Query 47: 336
   Query 48: 732
   Query 49: 504
   Query 50: 192
   Query 51: 816
   Query 52: 504
   Query 53: 846
   Query 54: 336
   Query 55: 792
   Query 56: 276
   Query 57: 174
   Query 58: 240
   Query 59: 792
   Query 60: 504
   Query 61: 792
   Query 62: 504
   Query 63: 744
   Query 64: 504
   Query 65: 405
   Query 66: 336
   Query 67: 384
   Query 68: 48
   Query 69: 90
   Query 70: 276
   Query 71: 72
   Query 72: 48
   Query 73: 288
   Query 74: 72
   Query 75: 504
   Query 76: 120
   Query 77: 504
   Query 78: 105
   Query 79: 800
   Query 80: 336
   Query 81: 0
   Query 82: 528
   Query 83: 732
   Query 84: 96
   Query 85: 552
   Query 86: 456
   Query 87: 144
   Query 88: 504
   Query 89: 48
   Query 90: 336
   Query 91: 225
   Query 92: 720
   Query 93: 504
   Query 94: 48
   Query 95: 456
   Query 96: 384
   Query 97: 0
   Query 98: 48
   Query 99: 96
   Query 100: 48
   Query 101: 564
   Query 102: 564
   Query 103: 792
   Query 104: 184
   Query 105: 336
   Query 106: 192
   Query 107: 336
   Query 108: 336
   Query 109: 48
   Query 110: 432
   Query 111: 192
   Query 112: 24
   Query 113: 207
   Query 114: 504
   Query 115: 792
   Query 116: 504
   Query 117: 454
   Query 118: 736
   Query 119: 312
   Query 120: 336
   Query 121: 128
   Query 122: 336
   Query 123: 504
   Query 124: 336
   Query 125: 48
   Query 126: 48
   Query 127: 624
   Query 128: 32
   Query 129: 672
   Query 130: 450
   Query 131: 768
   Query 132: 384
   Query 133: 432
   Query 134: 792
   Query 135: 504
   Query 136: 528
   Query 137: 528
   Query 138: 456
   Query 139: 528
   Query 140: 792
   Query 141: 504
   Query 142: 48
   Query 143: 264
   Query 144: 48
   Query 145: 336
   Query 146: 336
   Query 147: 390
   Query 148: 279
   Query 149: 384
   Query 150: 12
   Query 151: 48
   Query 152: 564
   Query 153: 168
   Query 154: 399
   Query 155: 48
   Query 156: 48
   Query 157: 336
   Query 158: 336
   Query 159: 576
   Query 160: 792
   Query 161: 576
   Query 162: 336
   Query 163: 216
   Query 164: 606
   Query 165: 552
   Query 166: 48
   Query 167: 504
   Query 168: 360
   Query 169: 792
   Query 170: 408
   Query 171: 837
   Query 172: 808
   Query 173: 144
   Query 174: 48
   Query 175: 792
   Query 176: 336
   Query 177: 624
   Query 178: 336
   Query 179: 504
   Query 180: 888
   Query 181: 808
   Query 182: 888
   Query 183: 792
   Query 184: 552
   Query 185: 48
   Query 186: 240
   Query 187: 552
   Query 188: 312
   Query 189: 72
   Query 190: 792
   Query 191: 864
   Query 192: 480
   Query 193: 792
   Query 194: 384
   Query 195: 528
   Query 196: 168
   Query 197: 466
   Query 198: 507
   Query 199: 165
   Query 200: 48
   Query 201: 96
   Query 202: 618
   Query 203: 792
   Query 204: 792
   Query 205: 336
   Query 206: 0
   Query 207: 48
   Query 208: 600
   Query 209: 816
   Query 210: 480
   Query 211: 336
   Query 212: 180
   Query 213: 192
   Query 214: 48
   Query 215: 816
   Query 216: 48
   Query 217: 336
   Query 218: 906
   Query 219: 336
   Query 220: 744
   Query 221: 168
   Query 222: 792
   Query 223: 360
   Query 224: 336
   Query 225: 48
   Query 226: 504
   Query 227: 336
   Query 228: 150
   Query 229: 372
   Query 230: 48
   Query 231: 201
   Query 232: 144
   Query 233: 336
   Query 234: 504
   Query 235: 276
   Query 236: 336
   Query 237: 792
   Query 238: 48
   Query 239: 0
   Query 240: 342
   Query 241: 651
   Query 242: 138
   Query 243: 800
   Query 244: 504
   Query 245: 648
   Query 246: 684
   Query 247: 288
   Query 248: 36
   Query 249: 720
   Query 250: 48
   Query 251: 48
   Query 252: 120
   Query 253: 768
   Query 254: 96
   Query 255: 264
   Query 256: 678
   Query 257: 552
   Query 258: 276
   Query 259: 792
   Query 260: 624
   Query 261: 312
   Query 262: 849
   Query 263: 849
   Query 264: 552
   Query 265: 843
   Query 266: 0
   Query 267: 264
   Query 268: 480
   Query 269: 336
   Query 270: 408
   Query 271: 264
   Query 272: 792
   Query 273: 48
   Query 274: 336
   Query 275: 48
   Query 276: 408
   Query 277: 792
   Query 278: 408
   Query 279: 504
   Query 280: 216
   Query 281: 288
   Query 282: 312
   Query 283: 376
   Query 284: 906
   Query 285: 384
   Query 286: 192
   Query 287: 216
   Query 288: 792
   Query 289: 360
   Query 290: 651
   Query 291: 600
   Query 292: 792
   Query 293: 600
   Query 294: 48
   Query 295: 480
   Query 296: 286
   Query 297: 336
   Query 298: 504
   Query 299: 24
   Query 300: 120
   Query 301: 678
   Query 302: 624
   Query 303: 12
   Query 304: 192
   Query 305: 468
   Query 306: 390
   Query 307: 792
   Query 308: 336
   Query 309: 48
   Query 310: 243
   Query 311: 96
   Query 312: 768
   Query 313: 216
   Query 314: 768
   Query 315: 276
   Query 316: 48
   Query 317: 840
   Query 318: 846
   Query 319: 108
   Query 320: 774
   Query 321: 48
   Query 322: 96
   Query 323: 192
   Query 324: 336
   Query 325: 48
   Query 326: 504
   Query 327: 336
   Query 328: 192
   Query 329: 816
   Query 330: 144
   Query 331: 504
   Query 332: 192
   Query 333: 0
   Query 334: 864
   Query 335: 48
   Query 336: 504
   Query 337: 36
   Query 338: 672
   Query 339: 48
   Query 340: 264
   Query 341: 624
   Query 342: 384
   Query 343: 816
   Query 344: 384
   Query 345: 264
   Query 346: 336
   Query 347: 906
   Query 348: 792
   Query 349: 600
   Query 350: 384
   Query 351: 336
   Query 352: 504
   Query 353: 504
   Query 354: 358
   Query 355: 174
   Query 356: 792
   Query 357: 792
   Query 358: 240
   Query 359: 504
   Query 360: 216
   Query 361: 720
   Query 362: 60
   Query 363: 768
   Query 364: 712
   Query 365: 480
   Query 366: 768
   Query 367: 32
   Query 368: 678
   Query 369: 336
   Query 370: 504
   Query 371: 336
   Query 372: 903
   Query 373: 456
   Query 374: 504
   Query 375: 336
   Query 376: 120
   Query 377: 384
   Query 378: 336
   Query 379: 336
   Query 380: 792
   Query 381: 300
   Query 382: 648
   Query 383: 336
   Query 384: 48
   Query 385: 0
   Query 386: 336
   Query 387: 120
   Query 388: 336
   Query 389: 456
   Query 390: 606
   Query 391: 408
   Query 392: 906
   Query 393: 432
   Query 394: 504
   Query 395: 402
   Query 396: 360
   Query 397: 240
   Query 398: 480
   Query 399: 48
   Query 400: 272
   Query 401: 888
   Query 402: 264
   Query 403: 504
   Query 404: 624
   Query 405: 72
   Query 406: 336
   Query 407: 720
   Query 408: 432
   Query 409: 432
   Query 410: 57
   Query 411: 504
   Query 412: 768
   Query 413: 144
   Query 414: 12
   Query 415: 48
   Query 416: 792
   Query 417: 0
   Query 418: 336
   Query 419: 753
   Query 420: 96
   Query 421: 336
   Query 422: 336
   Query 423: 24
   Query 424: 336
   Query 425: 336
   Query 426: 48
   Query 427: 792
   Query 428: 696
   Query 429: 504
   Query 430: 48
   Query 431: 162
   Query 432: 352
   Query 433: 352
   Query 434: 264
   Query 435: 672
   Query 436: 104
   Query 437: 516
   Query 438: 384
   Query 439: 888
   Query 440: 300
   Query 441: 48
   Query 442: 48
   Query 443: 48
   Query 444: 720
   Query 445: 112
   Query 446: 32
   Query 447: 144
   Query 448: 720
   Query 449: 504
   Query 450: 792
   Query 451: 732
   Query 452: 504
   Query 453: 624
   Query 454: 444
   Query 455: 48
   Query 456: 0
   Query 457: 720
   Query 458: 60
   Query 459: 864
   Query 460: 24
   Query 461: 336
   Query 462: 216
   Query 463: 264
   Query 464: 561
   Query 465: 144
   Query 466: 48
   Query 467: 792
   Query 468: 336
   Query 469: 336
   Query 470: 336
   Query 471: 528
   Query 472: 200
   Query 473: 872
   Query 474: 456
   Query 475: 48
   Query 476: 48
   Query 477: 624
   Query 478: 48
   Query 479: 816
   Query 480: 576
   Query 481: 720
   Query 482: 450
   Query 483: 240
   Query 484: 184
   Query 485: 822
   Query 486: 888
   Query 487: 96
   Query 488: 444
   Query 489: 678
   Query 490: 276
   Query 491: 336
   Query 492: 144
   Query 493: 504
   Query 494: 504
   Query 495: 504
   Query 496: 808
   Query 497: 504
   Query 498: 48
   Query 499: 48
   Query 500: 504
   Query 501: 816
   Query 502: 232
   Query 503: 600
   Query 504: 840
   Query 505: 126
   Query 506: 768
   Query 507: 102
   Query 508: 96
   Query 509: 720
   Query 510: 756
   Query 511: 336
   Query 512: 504
   Query 513: 720
   Query 514: 240
   Query 515: 366
   Query 516: 792
   Query 517: 294
   Query 518: 504
   Query 519: 720
   Query 520: 792
   Query 521: 576
   Query 522: 720
   Query 523: 336
   Query 524: 408
   Query 525: 354
   Query 526: 504
